timestamp,1X_Amp_29VT-2001X,1X_Amp_29VT-2001Y,1X_Amp_29VT-2003X,1X_Amp_29VT-2003Y,1X_Amp_29VT-2005X,1X_Amp_29VT-2005Y,1X_Amp_29VT-2007X,1X_Amp_29VT-2007Y,1X_Phase_29VT-2001X,1X_Phase_29VT-2001Y,1X_Phase_29VT-2003X,1X_Phase_29VT-2003Y,1X_Phase_29VT-2005X,1X_Phase_29VT-2005Y,1X_Phase_29VT-2007X,1X_Phase_29VT-2007Y,29SIC2001,29SIC2001A,29FI2005,29FI2006,29PI2011,29PI2012,29PDI2007A,29LI2002A,29TI2030,29TI2031,29TI2026A
2026-02-20 00:00:00,17.4063,16.0356,47.9632,31.9774,9.7115,8.3328,6.8215,13.336,105.2098,14.0,217.3891,126.6222,5.9412,292.0,156.0,74.0,4815.0,98.3696,28485.8684,27097.5984,3.8723,0.4403,21.2332,65.9271,395.6965,246.1109,49.3294
2026-02-20 01:00:00,17.0532,15.7012,48.0388,32.4231,9.7321,8.2359,6.6856,13.1291,104.7397,16.6063,217.2904,128.6166,5.0696,292.0,155.037,73.7907,4815.0,98.3696,28365.3079,27030.682,3.8656,0.434,21.1449,65.9239,395.2342,246.1384,49.3163
2026-02-20 02:00:00,16.9834,15.3747,45.295,32.0247,9.6409,8.1983,6.4141,12.8712,108.2669,15.5939,217.6821,126.1378,6.9348,292.2388,153.0,72.7854,4815.0,98.3696,28685.0456,27249.7912,3.8621,0.4631,21.1085,65.9198,395.2498,248.282,49.3456
2026-02-20 03:00:00,17.1081,15.9635,47.0472,35.4735,9.3972,8.2844,6.1527,12.7544,106.719,13.0,216.0,126.9421,7.0,293.0,153.0429,72.2031,4815.0,98.3696,28342.5668,26947.3139,3.8716,0.4345,21.1159,65.9157,395.9467,247.0488,49.3893
2026-02-20 04:00:00,17.0189,15.827,48.9901,33.9068,9.5946,8.1875,6.2312,12.7727,105.3674,14.5841,218.6714,126.3179,7.069,293.0,153.0,72.0,4815.0,98.3696,28624.8172,27187.5628,3.8717,0.4598,21.1563,65.9116,395.56,248.3417,49.4331
2026-02-20 05:00:00,17.1747,15.0689,47.2292,31.2961,10.0303,8.6986,6.4267,13.9361,106.0,13.7756,215.988,128.0,2.9178,289.0,154.0,71.7989,4815.0,98.3696,28739.6921,27237.9174,3.8782,0.4633,21.1076,65.9075,395.5537,248.8184,49.4692
2026-02-20 06:00:00,17.2387,16.063,47.2173,32.6703,10.0042,8.3813,6.9366,12.5427,107.4958,12.727,220.2957,120.4517,7.0,293.0,153.9197,71.7608,4815.0,98.3696,28464.5651,27108.2304,3.8699,0.4397,21.0337,65.9034,395.3283,246.9342,49.4551
2026-02-20 07:00:00,16.6943,16.0732,49.9806,32.46,9.9316,8.3328,6.4434,12.6629,107.0,13.0,216.4354,124.9197,7.9457,293.0,150.9642,69.2289,4815.0,98.3696,28260.4813,27002.0833,3.8696,0.4284,21.1993,65.8993,395.9278,247.1111,49.434
2026-02-20 08:00:00,16.67,16.0758,49.131,32.9654,9.7884,8.3428,6.4476,12.4171,107.0,14.0,221.9226,126.0863,8.0,294.0,148.9864,69.2139,4815.0,98.3696,29003.5388,27625.3016,3.8694,0.4639,21.2265,65.8977,388.8411,242.3478,49.4128
2026-02-20 09:00:00,17.1364,15.5896,44.4313,30.1303,9.8595,8.4503,6.4244,12.8097,105.0,12.0,217.307,126.1505,7.9446,293.755,146.0524,69.0,4815.0,98.3696,29085.8002,27737.0526,3.8636,0.4633,21.1165,65.9149,385.5921,238.9815,49.3987
2026-02-20 10:00:00,16.9744,15.9168,47.0177,32.8372,10.0784,8.5751,6.501,13.3202,106.9748,13.787,219.4651,127.6736,4.948,289.2474,151.0,71.0,4815.0,98.3696,28631.8555,27262.9325,3.873,0.4394,20.7963,65.9328,391.2677,243.1391,49.7816
2026-02-20 11:00:00,16.8958,16.08,46.8956,33.1897,9.8632,8.3707,6.0174,12.5648,105.4645,15.0,218.3444,126.9274,7.9359,294.0,144.0592,67.7847,4815.0,98.3696,28814.6052,27386.4393,3.8623,0.4562,20.3188,65.9507,391.5761,244.241,50.254
2026-02-20 12:00:00,17.2874,16.1113,51.3717,31.8655,9.7832,8.3813,5.7361,12.7415,102.2626,12.2008,217.3089,126.0612,7.0,293.0,143.0399,68.0,4815.0,98.3696,28949.8667,27557.34,3.8741,0.4623,20.075,65.9686,391.2277,243.7198,50.7263
2026-02-20 13:00:00,16.5907,16.3214,49.9812,32.0639,9.8256,8.4187,5.7381,12.7405,104.1006,13.7911,219.6613,134.5491,6.9315,292.7667,146.9647,68.1959,4815.0,98.3696,29003.1727,27604.3105,3.8712,0.4639,20.0238,65.9865,391.1245,244.4259,50.7885
2026-02-20 14:00:00,16.4269,16.0947,44.9193,30.2415,9.6973,8.3697,5.9484,12.4504,104.0,13.0,216.6479,127.0522,7.0,293.0,147.0,69.0,4815.0,98.3696,28901.9335,27473.4247,3.8694,0.4631,20.0277,66.0032,391.8171,245.0252,50.738
2026-02-20 15:00:00,17.4686,15.8833,45.4171,31.8319,9.5919,8.3328,5.5251,12.3394,105.5085,15.1816,220.0961,129.3688,7.0,293.0,146.0145,69.2417,4815.0,98.3696,28878.9002,27441.3693,3.8758,0.4621,20.0023,65.9803,391.6643,244.4282,50.6876
2026-02-20 16:00:00,16.9112,15.7713,47.6789,32.4954,9.6412,8.3713,5.9013,12.7112,106.0,12.0,217.0,126.8363,7.0,292.2493,147.0199,68.7703,4815.0,98.3696,29045.4388,27528.3001,3.8708,0.4637,20.535,65.9405,392.7501,244.986,50.2153
