model,n_params,epochs_refit,val_mse,limit99_6h,spe_oos_median,fa_oos_10min,fa_refit_6h,fa_fold_mean,fa_fold_max,sep_ratio_16-30apr,max_slope_neg_ep7,max_slope_neg_ep8,max_slope_neg_9a,max_slope_cfg_pos,max_slope_precheck
AE_s0,2270,286,0.0134,0.9593,0.2247,0.0179,0.0,0.0364,0.1818,201.76,0.0069,0.0415,0.0998,0.4328,0.1046
AE_s1,2270,255,0.0144,1.0663,0.2398,0.023,0.0,0.0636,0.3182,189.5,0.0098,0.0422,0.0995,0.4276,0.1042
AE_s2,2270,265,0.0138,0.9616,0.2395,0.0176,0.0,0.0282,0.0909,186.76,0.0093,0.0424,0.0977,0.4294,0.1035
AEsmall_s0,774,299,0.0146,0.8498,0.2381,0.0294,0.0,0.0269,0.0909,189.97,0.0086,0.0412,0.0979,0.4245,0.1031
AEsmall_s1,774,291,0.016,1.0351,0.2816,0.0281,0.0,0.0273,0.1364,161.88,0.0101,0.0416,0.0985,0.4235,0.1036
AEsmall_s2,774,280,0.0152,0.8983,0.2703,0.0323,0.0,0.0191,0.05,172.66,0.0096,0.0431,0.0982,0.4311,0.1028
DBN_s0,1826,103,0.0765,4.1072,1.6959,0.0197,0.0,0.0455,0.2273,37.31,0.007,0.034,0.0737,0.2483,0.0887
DBN_s1,1826,82,0.0771,4.1244,1.6921,0.0192,0.0,0.0455,0.2273,37.45,0.007,0.034,0.0735,0.2472,0.0886
DBN_s2,1826,134,0.0767,4.0296,1.6915,0.0192,0.0,0.0455,0.2273,37.49,0.0071,0.034,0.0737,0.2471,0.0886
EDCNN_s0,4977,245,0.1841,11.4469,3.2048,0.0123,0.0,0.2,1.0,16.39,0.0156,0.0302,0.0829,0.237,0.0898
EDCNN_s1,4977,300,0.1143,4.9628,2.4837,0.0315,0.0083,0.01,0.05,23.84,0.0117,0.0294,0.0709,0.2503,0.0873
EDCNN_s2,4977,245,0.2101,11.4168,3.9858,0.0121,0.0,0.2,1.0,15.43,0.0105,0.0302,0.0753,0.2323,0.0835
EDLSTM_s0,6008,300,0.1537,6.9469,3.4023,0.0195,0.0083,0.0187,0.05,19.15,0.01,0.0311,0.0728,0.2479,0.085
EDLSTM_s1,6008,300,0.1704,7.1285,3.7859,0.0181,0.0083,0.0187,0.05,17.73,0.0101,0.0305,0.0747,0.2379,0.0837
EDLSTM_s2,6008,300,0.1631,7.3812,3.6059,0.0156,0.0083,0.0187,0.05,18.31,0.0099,0.0311,0.0731,0.2432,0.0846
PCA_k2,120,0,0.1875,15.3154,3.879,0.008,0.0165,0.0191,0.05,42.39,-0.0135,0.0367,0.1368,0.2359,0.1004
PCA_k3,144,0,0.1448,12.4062,3.0153,0.0128,0.0083,0.0187,0.05,27.35,0.0201,0.0307,0.1629,0.254,0.098
PCA_k4,168,0,0.095,6.685,1.8757,0.0254,0.0,0.0273,0.1364,7.06,0.0241,0.0374,0.0544,0.1466,0.1125
PCA_k5,192,0,0.0672,5.8184,1.2733,0.0192,0.0,0.0364,0.1818,3.42,0.0115,0.0314,0.0431,0.1564,0.1471
PCA_k6,216,0,0.0387,2.8553,0.5741,0.0265,0.0,0.0545,0.2727,5.1,0.0307,0.0291,0.0464,0.1423,0.1288
PCA_k8,264,0,0.0016,0.1755,0.0288,0.0051,0.0165,0.0287,0.1,15.43,0.0351,0.0516,0.0154,0.1699,0.0687
SAE_b0.001_s0,3600,300,0.004,0.2634,0.0343,0.0315,0.0165,0.01,0.05,1295.99,0.0089,0.0425,0.0999,0.4914,0.1047
SAE_b0.001_s1,3600,300,0.0042,0.2607,0.0392,0.0326,0.0165,0.01,0.05,1139.41,0.0093,0.0432,0.1,0.4885,0.1047
SAE_b0.001_s2,3600,300,0.0041,0.2803,0.0358,0.0302,0.0165,0.0191,0.05,1230.47,0.0079,0.0432,0.0994,0.4898,0.1047
VAE_z8_s0,2588,300,0.0929,5.8262,1.9351,0.016,0.0083,0.0187,0.05,33.56,0.0098,0.033,0.0752,0.2643,0.0856
VAE_z8_s1,2588,300,0.09,5.8522,1.8634,0.0152,0.0083,0.0187,0.05,34.89,0.01,0.033,0.0748,0.2645,0.0857
VAE_z8_s2,2588,300,0.0942,5.9234,1.9628,0.0147,0.0083,0.0187,0.05,33.1,0.0095,0.0332,0.075,0.2631,0.0854
