start,end,running,n,days
2025-07-13 00:00:00,2025-07-13 11:10:00,False,68,0.47
2025-07-13 11:20:00,2025-07-24 08:30:00,True,1568,10.89
2025-07-24 08:50:00,2025-08-04 21:30:00,True,1661,11.53
2025-08-04 21:40:00,2025-08-29 14:50:00,False,3560,24.72
2025-08-29 15:00:00,2025-09-15 08:30:00,True,2410,16.74
2025-09-15 08:40:00,2025-09-22 13:20:00,False,1037,7.2
2025-09-22 13:30:00,2025-09-25 16:10:00,True,449,3.12
2025-09-25 16:20:00,2025-09-26 07:50:00,False,94,0.65
2025-09-26 08:00:00,2025-09-26 13:10:00,True,32,0.22
2025-09-26 13:30:00,2025-10-02 08:50:00,True,837,5.81
2025-10-02 09:00:00,2025-10-02 14:50:00,False,36,0.25
2025-10-02 15:10:00,2025-10-02 16:00:00,False,6,0.04
2025-10-02 17:00:00,2025-11-06 02:50:00,True,4956,34.42
2025-11-06 03:00:00,2025-11-06 11:00:00,False,49,0.34
2025-11-06 11:10:00,2026-08-11 08:30:00,True,40017,277.9
2026-08-11 08:50:00,2026-09-10 00:00:00,True,4268,29.64
