model,n_params,val_mse,limit99_6h,spe_oos_median,fa_refit_6h,fa_fold_mean,fa_fold_max,sep_ratio_16-30apr,max_slope_neg_ep7,max_slope_neg_ep8,max_slope_neg_9a,max_slope_cfg_pos,max_slope_precheck,median_spe_blind_plateau,median_spe_blind_climb,epochs
AE_s0,2270,0.0134,0.567,0.225,0.0,0.0636,0.3182,201.72,0.0068,0.0415,0.0999,0.4356,0.1046,37.2,99.096,300.0
AEsmall_s0,774,0.0146,0.628,0.238,0.0,0.0261,0.1304,190.0,0.0086,0.0412,0.0979,0.4235,0.1031,36.562,99.656,300.0
SAE_b0.001_s0,3600,0.004,0.102,0.034,0.0,0.03,0.1,1295.99,0.0089,0.0425,0.0999,0.4914,0.1047,36.013,99.278,300.0
VAE_z8_s0,2588,0.0929,3.356,1.935,0.0,0.0435,0.2174,33.53,0.0097,0.0328,0.0752,0.2637,0.0859,54.238,128.282,300.0
AE_s1,2270,0.0144,0.71,0.24,0.0,0.1273,0.6364,189.09,0.0097,0.0424,0.0995,0.4296,0.1042,36.588,100.601,300.0
AEsmall_s1,774,0.016,0.654,0.282,0.0,0.0545,0.2727,161.69,0.0101,0.0416,0.0985,0.4238,0.1037,37.052,100.751,300.0
SAE_b0.001_s1,3600,0.0042,0.11,0.039,0.0,0.03,0.1,1139.41,0.0093,0.0432,0.1,0.4885,0.1047,35.754,98.868,300.0
VAE_z8_s1,2588,0.09,3.307,1.863,0.0,0.0522,0.2609,34.76,0.01,0.0331,0.0748,0.265,0.0855,54.224,128.264,300.0
AE_s2,2270,0.0138,0.524,0.239,0.0,0.0545,0.2727,186.36,0.0091,0.0425,0.0979,0.4298,0.1036,36.27,99.272,300.0
AEsmall_s2,774,0.0152,0.534,0.27,0.0,0.0182,0.0909,172.11,0.0095,0.0432,0.0985,0.4314,0.103,38.489,104.396,300.0
SAE_b0.001_s2,3600,0.0041,0.095,0.036,0.0,0.02,0.1,1230.47,0.0079,0.0432,0.0994,0.4898,0.1047,35.925,98.761,300.0
VAE_z8_s2,2588,0.0942,3.377,1.963,0.0,0.0435,0.2174,33.08,0.0097,0.033,0.0752,0.2623,0.0858,54.068,127.981,300.0
DBN_s0,1826,0.0765,4.075,1.687,0.0,0.0609,0.3043,37.63,0.0066,0.0318,0.0738,0.2466,0.0886,53.964,129.436,600.0
EDLSTM_s0,6008,0.1537,4.733,3.402,0.0,0.0187,0.05,19.15,0.01,0.0325,0.0728,0.2479,0.085,54.247,128.25,300.0
EDCNN_s0,4977,0.1616,9.752,2.539,0.0,0.2,1.0,20.25,0.0165,0.0331,0.0844,0.2564,0.0931,44.089,109.504,300.0
DBN_s1,1826,0.0771,4.083,1.686,0.0,0.0609,0.3043,37.7,0.0068,0.0317,0.0741,0.2477,0.0884,54.091,129.719,600.0
EDLSTM_s1,6008,0.1704,4.935,3.786,0.0,0.0287,0.1,17.73,0.0101,0.032,0.0747,0.2379,0.0837,56.348,131.408,300.0
EDCNN_s1,4977,0.1521,9.808,2.134,0.0,0.2,1.0,27.5,0.0113,0.0309,0.0702,0.2621,0.088,51.744,117.809,300.0
DBN_s2,1826,0.0767,3.989,1.684,0.0,0.0435,0.2174,37.92,0.0067,0.0317,0.0743,0.2471,0.0883,54.346,130.098,600.0
EDLSTM_s2,6008,0.1631,4.945,3.606,0.0,0.0348,0.1739,18.31,0.0099,0.0325,0.0731,0.2432,0.0846,55.434,130.439,300.0
EDCNN_s2,4977,0.1861,9.694,3.28,0.0,0.2,1.0,18.41,0.0106,0.0327,0.0754,0.2555,0.0851,51.639,119.533,300.0
PCA_k2,120,0.1875,7.079,3.879,0.0,0.0455,0.2273,42.39,-0.0135,0.0367,0.1368,0.2359,0.1004,144.53,292.845,0.0
PCA_k3,144,0.1448,5.773,3.015,0.0,0.0273,0.1364,27.35,0.0201,0.0307,0.1629,0.254,0.098,93.269,179.911,0.0
PCA_k4,168,0.095,5.123,1.876,0.0,0.0178,0.0455,7.06,0.0241,0.0374,0.0544,0.1466,0.1125,62.916,86.231,0.0
PCA_k5,192,0.0672,4.09,1.273,0.0,0.0455,0.2273,3.42,0.0115,0.0314,0.0431,0.1564,0.1471,44.745,60.714,0.0
PCA_k6,216,0.0387,1.372,0.574,0.0,0.0455,0.2273,5.1,0.0307,0.0291,0.0464,0.1423,0.1288,25.715,37.759,0.0
PCA_k8,264,0.0016,0.116,0.029,0.0,0.04,0.2,15.43,0.0351,0.0516,0.0154,0.1232,0.0687,0.329,0.587,0.0
