sensor,n,t0,t1,median
29TE-2003A,4922,2021-07-27 05:30:58,2026-07-21 12:14:02,37.0
29TE-2004A,4946,2021-07-27 05:30:58,2026-07-21 03:00:01,37.0
29TE-2005A,4955,2021-07-27 05:30:58,2026-07-21 11:13:40,38.0
29TE-2035A,4951,2021-07-27 05:30:58,2026-07-21 10:32:24,36.0
29TE-2036A,4955,2021-07-27 05:30:58,2026-07-21 09:40:26,37.0
29TE-2037A,4949,2021-07-27 05:30:58,2026-07-21 10:32:13,36.0
29TE-2038A,4952,2021-07-27 05:42:48,2026-07-21 10:35:14,37.0
29TE-2039A,4922,2021-07-27 05:30:58,2026-07-21 09:43:56,37.0
29TE-2055,4932,2021-07-27 10:59:02,2026-07-21 12:52:25,40.0
29TE-2056,4949,2021-07-27 05:30:58,2026-07-21 11:05:02,37.0
29TE-2057,3032,2025-09-20 19:32:40,2026-07-21 13:03:36,61.0
29TI2030,3028,2022-07-22 16:19:53,2026-06-13 00:55:16,252.491
29VT-2001AX,4935,2021-07-27 04:49:05,2026-07-21 13:05:29,0.678
29VT-2001AY,4936,2021-07-27 04:49:05,2026-07-21 13:05:36,0.872
29VT-2003AX,4932,2021-07-27 08:31:42,2026-07-21 12:15:53,2.325
29VT-2003AY,4932,2021-07-27 05:30:55,2026-07-21 08:13:32,1.163
29VT-2005X,4887,2021-07-27 15:31:45,2026-07-21 09:54:34,1.066
29VT-2005Y,4889,2021-07-27 06:31:41,2026-07-21 09:50:37,0.775
29VT-2007X,4881,2021-07-27 04:49:05,2026-07-21 07:53:41,0.92
29VT-2007Y,9754,2021-07-27 04:49:05,2026-07-21 09:51:40,0.872
29XT-2012A,4934,2021-07-27 04:49:05,2026-07-21 13:37:59,0.123
29XT-2013A,4934,2021-07-27 09:23:40,2026-07-21 13:38:20,0.11
29XT-2026,4885,2021-07-27 05:57:26,2026-07-21 12:27:43,-0.059
