Data Source;Time;Value,
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2038|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2038|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.1080831571027"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2038|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1310.80831571027"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2005|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2005|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";12.5045591824364"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2005|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1250.45591824364"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2039|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2039|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.6826048434346"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2039|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1368.26048434346"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007X;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007X;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007X;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2005Y;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2005Y;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2005Y;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2005X;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2005X;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2005X;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2055|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2055|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";9.11163568083499"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2055|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";911.163568083499"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29XT-2013;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29XT-2013;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29XT-2013;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29XT-2012;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29XT-2012;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29XT-2012;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps|Status;""2026-07-29 12:47:38","441467"";Stop"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps|Status;""2026-10-20 11:47:38","441467"";Stop"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State;""2026-07-29 12:47:38","441467"";Normal"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State;""2026-07-29 12:47:38","441467"";Normal"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2001Y;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2001Y;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2001Y;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2001X;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2001X;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2001X;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2036|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2036|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.9553726619624"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2036|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1395.53726619624"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2037|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2037|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.3662257597769"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2037|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1336.62257597769"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG2;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG2;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG2;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG1;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG1;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG3;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG3;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG3;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG5;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG5;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG5;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG4;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG4;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|State|BRG4;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG6;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG6;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG6;""2026-10-20 11:44:48","031631"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|State|BRG6;""2026-10-20 11:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2056|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2056|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";8.72467639246559"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2056|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";872.467639246559"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2003|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2003|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.9513425480916"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2003|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1395.13425480916"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2004|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2004|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";12.6257227958272"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2004|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1262.57227958272"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2035|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2035|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.9553726619624"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2035|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1395.53726619624"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps|Steady Running State|PI Vission;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Hi;""2026-07-29 12:47:38","441467"";0.3"
