Machine Name,P29201A
Point Name,29VT-2005Y
Wf Amp,12.548
Number of Revs,8
X-Axis Unit,ms
Y-Axis Unit,µm 
Sample Speed, 4762 rpm
Sample Status,Valid
Timestamp,7/25/2026 1:40:10 PM
Variable,Disp Wf(256X/8revs).29KT-2014A
X-Axis Value,Y-Axis Value
0,3.966
0.049,3.385
0.098,3.143
0.148,3.094
0.197,3.046
0.246,2.949
0.295,2.755
0.345,2.562
0.394,2.174
0.443,1.786
0.492,1.447
0.541,0.963
0.591,1.399
0.64,1.35
0.689,1.35
0.738,1.06
0.787,1.108
0.837,1.157
0.886,1.157
0.935,0.817
0.984,0.333
1.034,-0.006
1.083,-0.394
1.132,-0.684
1.181,-0.878
1.23,-1.072
1.28,-1.023
1.329,-1.46
1.378,-1.653
1.427,-1.896
1.477,-1.847
1.526,-2.332
1.575,-2.186
1.624,-2.332
1.673,-2.235
1.723,-2.38
1.772,-1.799
1.821,-2.138
1.87,-2.283
1.919,-2.816
1.969,-2.865
2.018,-3.397
2.067,-3.252
2.116,-3.591
2.166,-3.882
2.215,-4.948
2.264,-5.723
2.313,-6.353
2.362,-5.965
2.412,-5.674
2.461,-5.529
2.51,-5.82
2.559,-5.19
2.609,-4.657
2.658,-4.027
2.707,-4.221
2.756,-4.076
2.805,-4.366
2.855,-4.56
2.904,-4.754
2.953,-4.899
3.002,-4.706
3.052,-4.851
3.101,-4.802
3.15,-4.56
3.199,-4.415
3.248,-4.318
3.298,-4.609
3.347,-4.366
3.396,-4.463
3.445,-4.124
3.494,-3.93
3.544,-3.591
3.593,-3.785
3.642,-3.688
3.691,-3.494
3.741,-3.446
3.79,-3.591
3.839,-3.882
3.888,-4.318
3.937,-4.318
3.987,-4.221
4.036,-3.785
4.085,-3.785
4.134,-3.397
4.184,-3.543
4.233,-3.785
4.282,-4.076
4.331,-3.737
4.38,-3.737
4.43,-3.543
4.479,-3.979
4.528,-3.543
4.577,-3.446
4.626,-3.058
4.676,-2.719
4.725,-2.671
4.774,-2.865
4.823,-2.913
4.873,-2.913
4.922,-2.768
4.971,-2.768
5.02,-2.768
5.069,-2.816
5.119,-3.058
5.168,-3.01
5.217,-2.622
5.266,-2.574
5.316,-2.138
5.365,-1.992
5.414,-1.75
5.463,-1.75
5.512,-1.556
5.562,-1.411
5.611,-1.556
5.66,-1.411
5.709,-1.653
5.758,-2.235
5.808,-2.283
5.857,-2.041
5.906,-1.847
5.955,-2.138
6.005,-1.944
6.054,-1.992
6.103,-1.702
6.152,-1.556
6.201,-1.072
6.251,-1.169
6.3,-1.023
6.349,-1.023
6.398,-0.636
6.448,-0.442
6.497,-0.151
6.546,-0.055
6.595,-0.151
6.644,-0.345
6.694,0.091
6.743,0.381
6.792,0.478
6.841,0.236
6.89,0.333
6.94,0.478
6.989,0.575
7.038,0.866
7.087,1.641
7.137,1.98
7.186,1.883
7.235,2.271
7.284,3.046
7.333,3.191
7.383,2.562
7.432,2.125
7.481,1.738
7.53,1.641
7.58,1.302
7.629,1.447
7.678,1.205
7.727,1.06
7.776,0.914
7.826,1.157
7.875,1.205
7.924,0.963
7.973,0.866
8.022,0.091
8.072,-0.103
8.121,-0.345
8.17,-0.103
8.219,-0.151
8.269,-0.055
8.318,0.091
8.367,0.333
8.416,0.43
8.465,0.721
8.515,0.575
8.564,0.43
8.613,0.139
8.662,-1.75
8.712,-3.058
8.761,-0.733
8.81,1.35
8.859,1.35
8.908,0.478
8.958,0.527
9.007,0.333
9.056,-0.588
9.105,-1.653
9.155,-0.781
9.204,0.43
9.253,0.817
9.302,1.544
9.351,2.077
9.401,2.271
9.45,2.319
9.499,2.513
9.548,2.513
9.597,2.949
9.647,3.143
9.696,3.434
9.745,3.579
9.794,3.579
9.844,4.257
9.893,4.645
9.942,4.79
9.991,4.79
10.04,4.79
10.09,4.79
10.139,4.645
10.188,4.79
10.237,4.839
10.287,4.887
10.336,4.839
10.385,4.645
10.434,4.451
10.483,4.645
10.533,4.548
10.582,4.16
10.631,4.306
10.68,4.16
10.729,4.596
10.779,4.596
10.828,4.839
10.877,5.032
10.926,5.275
10.976,5.032
11.025,4.887
11.074,4.79
11.123,4.257
11.172,3.676
11.222,3.53
11.271,3.191
11.32,2.998
11.369,3.094
11.419,3.143
11.468,3.191
11.517,3.337
11.566,3.337
11.615,3.191
11.665,3.046
11.714,2.949
11.763,2.998
11.812,3.046
11.861,3.385
11.911,3.724
11.96,4.015
12.009,4.306
12.058,4.548
12.108,4.548
12.157,4.548
12.206,4.403
12.255,4.742
12.304,4.596
12.354,4.306
12.403,4.112
12.452,4.015
12.501,4.354
12.551,4.403
12.6,4.548
12.649,3.918
12.698,3.434
12.747,3.191
12.797,3.046
12.846,2.61
